NAME                                                                       USED  AVAIL  REFER  MOUNTPOINT
MonitorPool/monitor@syncoid_FRACTAL_2018-01-26:23:11:02                       0      -   270K  -
MonitorPool/scripts@syncoid_vpn1.jpconstantineau.com_2017-08-24:22:31:17    17K      -    40K  -
MonitorPool/scripts@autosnap_2017-11-19_20:00:02_hourly                     15K      -   230K  -
MonitorPool/scripts@autosnap_2017-11-20_00:00:02_hourly                     15K      -   230K  -
MonitorPool/scripts@autosnap_2017-11-20_05:00:01_hourly                     15K      -   230K  -
MonitorPool/scripts@autosnap_2017-11-20_10:00:01_hourly                     15K      -   230K  -
MonitorPool/scripts@autosnap_2017-11-20_15:00:01_hourly                     15K      -   230K  -
MonitorPool/scripts@autosnap_2017-11-20_20:00:02_hourly                     15K      -   230K  -
MonitorPool/scripts@autosnap_2017-11-21_00:00:02_hourly                     15K      -   230K  -
MonitorPool/scripts@autosnap_2017-11-21_05:00:01_hourly                     15K      -   230K  -
MonitorPool/scripts@autosnap_2017-11-21_10:00:02_hourly                     15K      -   230K  -
MonitorPool/scripts@autosnap_2017-11-21_15:00:02_hourly                     15K      -   230K  -
MonitorPool/scripts@autosnap_2017-11-21_20:00:02_hourly                     15K      -   230K  -
MonitorPool/scripts@autosnap_2017-11-22_00:00:02_hourly                     15K      -   230K  -
MonitorPool/scripts@autosnap_2017-11-22_05:00:01_hourly                     15K      -   230K  -
MonitorPool/scripts@autosnap_2017-11-22_10:00:02_hourly                     15K      -   230K  -
MonitorPool/scripts@autosnap_2017-11-22_15:00:01_hourly                     15K      -   230K  -
MonitorPool/scripts@autosnap_2017-11-22_20:00:01_hourly                     15K      -   230K  -
MonitorPool/scripts@autosnap_2017-11-23_00:00:02_hourly                     15K      -   230K  -
MonitorPool/scripts@autosnap_2017-11-23_05:00:01_hourly                     15K      -   230K  -
MonitorPool/scripts@autosnap_2017-11-23_10:00:02_hourly                     15K      -   230K  -
MonitorPool/scripts@autosnap_2017-11-23_15:00:01_hourly                     15K      -   230K  -
